volume,volume_weighted_average_price,open,close,high,low,number_of_transactions
1.3403334e7,9.7633,9.87,9.72,9.92,9.67,39870
1.1394876e7,9.9314,9.78,9.93,10.07,9.75,38827
1.688914e7,10.4218,10.13,10.53,10.57,10.08,54485
1.0150367e7,10.5233,10.59,10.51,10.63,10.425,32661
9.512479e6,10.4779,10.51,10.53,10.53,10.38,36256
9.001661e6,10.5281,10.5,10.54,10.6,10.42,31788
1.2402156e7,10.703,10.6,10.72,10.77,10.53,34805
8.234634e6,10.7257,10.72,10.79,10.83,10.61,27458
1.3372862e7,11.228,10.85,11.32,11.46,10.82,48616
1.5888682e7,11.3634,11.3,11.43,11.445,11.1,33690
1.6544103e7,11.1779,11.56,11.06,11.6,11.05,38498
8.687155e6,11.0114,11.23,11.06,11.24,10.865,29486
8.965207e6,11.1213,11.12,11.09,11.25,11.06,34872
7.685282e6,11.1001,10.96,11.17,11.22,10.92,26715
1.3928772e7,11.3303,11.12,11.39,11.49,11.06,58946
6.0367654e7,13.6818,11.6,14.59,15.38,11.37,181751
7.8207985e7,15.6328,14.86,15.36,16.6,14.13,246779
5.466472e7,12.8712,12.87,11.91,14.57,11.6,184544
1.9535663e7,12.4351,12.11,12.38,12.66,12.1,73405
1.8326971e7,11.9299,12.54,11.77,12.54,11.77,74570
1.8102508e7,11.5436,11.8,11.49,11.89,11.33,64954
1.2547498e7,11.7308,11.55,11.77,11.955,11.48,46801
1.1271139e7,11.7633,11.66,11.74,11.915,11.57,42267
1.3902205e7,11.9746,11.79,12.23,12.315,11.54,45964
7.226163e6,12.2837,12.42,12.37,12.45,12.13,32256
8.839432e6,12.5212,12.36,12.56,12.68,12.265,41841
1.8438581e7,12.4939,12.63,12.48,12.78,12.35,62743
2.5437386e7,11.4894,12.01,11.5,12.06,11.23,88770
1.2400105e7,11.7655,11.54,11.78,11.93,11.45,47223
1.0504477e7,11.83,11.83,11.79,11.98,11.72,41834
8.665727e6,11.7862,11.77,11.77,11.89,11.66,33164
9.918143e6,11.758,11.69,11.7,11.9,11.65,36719
9.757784e6,11.9247,11.83,11.94,12.03,11.81,35009
1.2142513e7,11.9962,11.96,11.98,12.125,11.915,38823
1.0881829e7,12.0968,12.02,12.19,12.26,11.73,47137
8.269443e6,12.3777,12.29,12.45,12.535,12.21,36718
1.3246764e7,12.2482,12.55,12.15,12.63,12.095,41533
1.3683535e7,12.2485,12.05,12.29,12.4,12.02,49735
1.9302464e7,12.5623,12.45,12.51,12.94,12.342,64263
1.7636206e7,12.8419,12.55,12.85,13.06,12.49,64203
2.6017669e7,13.5734,12.92,13.79,13.95,12.88,89934
1.74294e7,13.4236,13.78,13.42,13.8,13.135,67050
1.380139e7,13.3724,13.1,13.47,13.545,13.085,57624
2.2073007e7,14.0664,13.48,14.3,14.44,13.48,81886
1.5090747e7,13.9513,14.22,13.85,14.41,13.79,64989
1.3260159e7,13.8699,13.97,13.88,13.97,13.66,44182
9.813895e6,13.6816,13.81,13.6,13.9,13.54,36622
9.251675e6,13.9798,13.73,14.03,14.115,13.6,38919
8.930904e6,14.1789,14.13,14.19,14.33,14.015,44580
7.910979e6,14.062,14.12,14.03,14.22,13.96,33608
9.3884e6,14.0649,14.07,14.14,14.15,13.87,37256
7.415044e6,14.0831,14.0,13.96,14.34,13.96,35928
2.4063283e7,14.0219,14.09,13.98,14.2289,13.915,42638
1.2574592e7,14.3053,14.0,14.37,14.63,13.935,49998
1.3438481e7,13.7967,14.12,13.63,14.22,13.6,52533
