volume,volume_weighted_average_price,open,close,high,low,number_of_transactions
460898.0,84.5581,84.81,84.34,85.4865,84.21,5573
387129.0,84.5162,84.34,83.98,85.22,83.98,4533
377928.0,83.34,84.03,83.19,84.18,83.07,5353
760050.0,83.272,83.18,83.45,83.57,82.88,8109
579122.0,82.7341,83.63,82.59,83.7,82.5,6467
475535.0,81.1394,82.3,80.8,82.3,80.7,5949
617847.0,80.2631,80.6,80.0,81.145,79.969,5419
738177.0,79.8947,79.62,79.84,80.385,79.105,8088
635631.0,80.2878,79.93,80.1,80.77,79.69,7172
837199.0,80.7933,80.39,80.82,81.14,80.24,8771
1.005117e6,80.4738,80.51,80.69,81.22,79.72,9797
837243.0,81.0573,80.86,80.83,81.47,80.39,8393
621511.0,81.3919,80.97,81.4,81.61,80.9,6727
957245.0,82.2688,81.55,82.26,82.52,81.15,9653
624240.0,82.196,82.14,82.25,82.52,81.95,6727
552701.0,82.5156,82.03,82.91,83.1,81.86,6481
643067.0,82.752,83.0,83.02,83.3199,82.455,5500
876889.0,82.5631,82.7,82.37,83.22,82.0,6494
693109.0,82.694,82.47,82.48,83.18,82.39,5852
1.390051e6,82.6849,82.79,82.9,82.91,81.9278,7937
588213.0,82.2874,83.06,82.29,83.3,81.91,6335
869130.0,81.5972,81.78,81.5,82.205,81.12,6382
1.002071e6,80.3448,81.24,79.31,81.895,79.26,9487
1.054154e6,77.4634,78.55,78.03,79.115,76.46,10144
1.071636e6,78.8462,79.31,78.48,80.83,78.19,10556
1.126689e6,79.5078,78.68,78.95,80.32,78.0,12100
736551.0,80.2012,79.31,81.11,81.61,79.13,8703
996976.0,80.3608,81.3,80.39,81.46,79.46,9382
552193.0,80.1004,80.18,80.42,80.64,79.1314,6073
499061.0,80.3035,79.91,80.24,80.69,79.38,5565
479807.0,81.5425,80.6,81.92,81.96,80.29,4213
551511.0,82.8013,82.01,82.96,83.24,81.856,5460
599089.0,82.0592,82.53,82.07,83.479,81.34,6891
582678.0,81.8962,82.06,81.04,82.8,81.02,5436
470882.0,81.1845,81.09,80.86,81.82,80.7,5157
505097.0,82.042,80.81,82.59,82.62,80.5218,5191
238698.0,82.1621,82.71,82.19,82.85,81.63,3187
349885.0,81.621,82.45,81.05,82.67,81.05,4451
503721.0,80.7775,81.24,80.49,81.78,80.46,4607
804179.0,80.5291,80.54,80.15,81.8725,79.88,5425
636997.0,79.4314,80.1,79.19,81.19,78.75,6807
589811.0,80.3377,79.1,80.61,80.82,79.01,6019
825446.0,80.0816,80.44,80.04,80.87,79.57,8132
797647.0,79.6758,79.96,79.46,80.63,79.27,6935
505000.0,79.8087,79.85,79.82,80.3,79.37,5011
475285.0,79.9649,79.76,80.23,80.27,79.32,5034
407397.0,80.8592,80.14,81.13,81.2,80.14,4588
639533.0,81.059,81.35,81.02,81.86,80.61,5436
579267.0,81.3508,81.18,81.34,81.98,80.79,4996
493311.0,81.4898,81.39,81.47,82.405,81.02,5716
1.256929e6,82.5562,81.36,82.86,83.13,81.25,5851
354341.0,81.8951,82.74,81.7,82.84,81.4,3896
388569.0,81.2615,81.78,81.27,82.12,80.86,3792
315409.0,81.6806,81.31,81.38,82.76,81.1219,3747
