volume,volume_weighted_average_price,open,close,high,low,number_of_transactions
1.0184085875e7,145.5376,146.4,145.2,146.72,144.24,208491
1.0319332125e7,147.82,147.04,148.24,148.96,146.4,182209
9.985319e6,148.9184,150.88,148.32,150.96,148.0,176394
1.0262423875e7,146.3424,149.36,146.24,149.6,144.8,195111
8.300656125e6,147.6576,146.64,148.48,149.28,144.88,155716
1.029028975e7,151.0336,148.72,151.432,152.48,148.64,180451
1.246608875e7,153.4664,153.84,152.16,155.08,152.0,218187
1.0884788625e7,150.9208,152.96,150.08,153.2,149.64,170473
2.5707129375e7,145.1216,146.56,145.68,148.08,143.68,384151
2.344216725e7,139.26,141.2,138.8,141.6,138.08,375677
2.1533299625e7,136.256,139.2,134.16,139.84,134.08,328047
2.68690335e7,130.2128,133.2,130.08,133.84,128.16,402254
1.677657725e7,128.8224,127.2,129.36,130.64,126.4,246429
1.540833175e7,133.9128,130.4,135.12,136.24,130.16,255216
2.087735725e7,133.4832,136.0,131.52,138.88,130.0,355782
1.1882142e7,130.6208,132.0,129.44,132.96,129.04,207813
1.1361091625e7,128.3192,129.04,129.04,129.28,127.44,174296
9.266844375e6,129.7848,128.16,130.24,131.44,127.76,170171
8.531792875e6,128.1168,128.8,127.6,130.16,127.6,166217
9.59619125e6,129.1152,128.48,129.36,130.2,127.92,132302
6.603061375e6,128.228,128.48,128.16,128.88,127.36,124920
1.0287007125e7,125.7424,127.12,125.12,127.44,124.8,180277
1.5405214e7,121.9936,123.84,119.28,125.04,119.28,241127
1.5859362125e7,120.4504,118.56,122.16,122.72,117.68,308995
9.500921625e6,122.9136,122.48,122.0,124.16,122.0,153702
1.7329769375e7,118.0008,121.52,115.6,121.64,115.6,254152
1.61319895e7,116.8152,117.52,119.52,120.24,113.84,288347
9.447826e6,119.1024,120.48,118.56,121.12,118.24,149960
9.21260475e6,117.264,117.92,117.36,118.32,116.24,131295
1.0739081e7,118.5944,117.52,119.2,120.24,117.12,170143
6.8607655e6,119.1464,119.44,118.8,121.12,118.16,115766
8.090647875e6,120.4184,118.8,120.4,121.84,118.48,133007
7.708246375e6,118.2312,119.36,117.92,119.76,116.96,123008
1.2263944875e7,116.36,117.68,115.92,117.84,115.6,156772
9.81236625e6,118.312,116.24,116.96,120.56,115.92,168296
6.614076625e6,116.3336,116.24,115.92,117.36,115.88,106111
1.8111574e7,114.4032,115.12,117.2,117.4,111.6,245186
1.162832175e7,118.2624,117.36,116.0,121.44,116.0,192790
1.10767725e7,113.7056,116.8,112.88,116.92,112.72,149797
1.14844835e7,112.5504,113.28,112.16,114.08,111.6,185072
9.329146875e6,113.048,111.92,112.96,113.92,111.76,156899
1.09312525e7,115.6664,113.44,115.36,117.2,112.96,179622
7.2633845e6,116.8184,116.8,117.12,117.36,116.08,139855
1.03749125e7,115.164,115.84,116.08,116.68,113.44,165471
6.1994225e6,116.1056,116.0,116.16,117.12,115.28,111025
8.019625125e6,118.264,116.96,119.52,119.6,116.08,131918
8.778335125e6,121.0488,120.16,120.8,122.64,119.68,160797
1.483989575e7,115.7752,117.52,115.44,117.92,114.72,213173
7.133433125e6,114.8792,115.68,114.16,116.72,113.88,139140
5.923678625e6,115.16,114.48,114.88,116.4,114.08,110669
1.4291843e7,114.3952,114.72,114.48,115.36,113.4,110599
8.273386e6,112.6456,114.08,112.56,114.24,112.0,121921
1.1096536e7,110.0184,112.8,109.12,112.88,108.96,160230
8.143312375e6,110.6168,109.28,111.04,111.68,108.56,124184
8.903451625e6,108.5208,110.0,106.8,110.32,106.56,142401
1.050531125e7,105.68,107.2,104.56,107.5992,104.16,159179
1.3179494375e7,103.1336,105.84,103.12,105.916,101.84,188676
1.93712385e7,107.4688,103.36,107.52,109.76,102.56,296020
1.7388184e7,108.1848,108.16,109.44,111.6,104.68,275191
9.3079415e6,107.8544,108.64,107.84,109.28,106.8,139323
9.010961e6,105.1224,107.6,104.96,108.32,103.68,151414
7.47318e6,104.0608,104.96,105.04,105.12,102.4,131769
7.146678625e6,104.5648,102.56,106.24,106.4,102.32,124287
6.6908165e6,107.1896,106.32,107.44,108.48,105.32,112789
7.933259125e6,105.1168,106.56,104.48,107.76,103.44,133799
8.5416045e6,103.5536,104.8,102.64,105.28,102.56,117486
7.207113e6,104.4264,104.08,104.4,105.12,103.6,111844
6.277568875e6,103.904,103.28,103.76,104.6392,102.8,104482
7.9539665e6,104.6536,104.24,105.44,105.96,103.76,100581
8.896174e6,108.232,107.28,107.92,109.44,106.88,139547
7.2849285e6,106.768,108.0,106.64,108.64,105.84,118715
9.016204125e6,110.0368,107.04,110.32,110.96,106.88,138034
5.373582375e6,109.7792,111.04,109.28,111.36,108.96,88839
1.0972807e7,110.9896,109.36,111.92,112.48,109.04,165547
2.3585773875e7,117.2056,119.52,116.32,120.4,114.72,389042
9.16523375e6,116.5144,118.0,116.16,118.24,115.12,148656
9.283664125e6,117.2704,117.28,117.44,118.16,116.32,178808
1.3907853375e7,112.6912,117.76,112.4,117.84,111.28,198582
8.10729475e6,114.6448,112.88,115.04,115.96,112.48,133771
6.103515125e6,114.9192,113.76,115.04,115.84,113.52,107109
6.06686175e6,113.1592,114.96,112.56,115.12,112.56,97237
6.421607625e6,111.7144,112.64,112.4,112.72,110.6,92773
6.459801125e6,113.7896,112.8,113.44,115.0,112.64,104450
7.530282375e6,111.832,113.52,111.44,113.52,110.8,117521
5.238919875e6,112.2576,110.96,112.8,113.04,110.16,85462
4.108844375e6,112.6536,112.72,112.56,113.44,112.0,79818
7.417275625e6,114.4472,113.44,114.16,115.92,112.72,133522
6.35850275e6,116.4344,114.8,116.96,117.44,114.4,107573
4.6854e6,117.1728,118.08,117.52,118.08,116.0,80136
3.57639425e6,116.852,117.92,116.8,118.16,116.16,69448
5.129405875e6,117.6952,117.6,117.68,118.4,117.12,73281
4.40776525e6,117.1952,117.6,117.68,117.76,116.52,78979
6.828003875e6,119.7,117.68,120.24,120.8,117.52,106363
6.341260125e6,120.6864,120.96,120.24,121.92,119.36,117199
4.295539875e6,119.9504,120.64,119.76,120.8,119.36,77213
9.739625375e6,122.8688,122.88,122.08,124.4,121.6,166195
8.217391e6,123.3984,123.12,122.32,124.72,122.32,131248
1.8417359375e7,115.5792,121.6,113.44,121.68,112.88,257463
1.3177269625e7,116.0592,114.72,116.8,117.76,113.92,182020
6.21571975e6,116.2688,116.88,117.04,117.32,115.28,109327
9.505591e6,113.4152,115.84,113.44,116.16,112.12,155413
6.526138125e6,112.8752,113.12,113.36,113.92,112.16,118035
